,loss,dropout,iter,lr,lr_decay,num_layers,size_layers,window
137,5.869393825531006,0.0721307483956161,5000,0.005001528307177958,0.97469812621349,3,10,41
138,5.418751239776611,0.253076006141993,1000,0.005938913357957064,0.9979072275449441,1,20,51
139,5.626510143280029,0.0804942245486674,5000,0.002042807852486022,0.9809219392163411,3,70,21
140,6.432823181152344,0.10185324037978619,5000,0.0035902181732079355,0.9616846064930518,3,20,11
141,5.4944281578063965,0.23031483842681696,5000,0.0068840290636545546,0.9855880660703078,2,70,31
142,5.382423400878906,0.15345418722343931,5000,0.0046013538710638095,0.9916768542492076,3,60,51
143,6.005548000335693,0.21293669826861114,1000,0.003945439509716502,0.9685730893303992,3,20,21
144,5.524951934814453,0.060267197768318875,5000,0.005357134377037614,0.983618105497679,1,50,51
145,4.847585678100586,0.2238145642889298,5000,0.002833368040412838,0.9996776671745672,3,40,21
146,5.213151931762695,0.22413648896302793,5000,0.0014708269835239625,0.9965379662295913,3,40,21
147,5.354629993438721,0.26297899227605703,5000,0.003242180345431671,0.993711117637566,3,40,21
148,5.42473840713501,0.1735304722166413,5000,0.0029339045294357324,0.9891587648881306,3,40,21
149,5.011802673339844,0.20166071599956498,5000,0.0005654211929594748,0.999040668971808,3,40,21
150,5.365294933319092,0.28329322674064084,5000,0.0011314971076958591,0.9945208002687363,3,40,21
151,5.5341267585754395,0.19196509998228517,5000,0.0017732263260558476,0.9873714976835988,3,40,21
152,5.409149646759033,0.1654876628796383,5000,0.00224692491481675,0.9903494294447409,3,40,21
153,5.229371547698975,0.25061681789611334,5000,0.004883920743141966,0.9964797341347916,3,40,21
154,5.428922653198242,0.18364185218507423,5000,0.0041541757422387275,0.9928387301553034,3,30,21
155,5.792243957519531,0.2023529927704585,5000,0.003495244352412807,0.977338259385763,3,20,21
156,4.924581527709961,0.21903410697592038,5000,0.0037887266331183443,0.9992744797407764,3,40,21
157,7.452859878540039,0.23443562553488162,5000,0.002027427232991574,0.9722351853120953,3,10,41
158,5.472499847412109,0.25743123456918676,500,0.0026591737983022775,0.9889029426039947,3,70,51
159,9.311692237854004,0.27381121133506564,5000,0.00027392049040224787,0.9815833753664568,3,20,21
160,6.582691192626953,0.1457067584144262,5000,0.0007440060253426995,0.9851240842962606,3,40,11
161,5.132901668548584,0.20813793215160786,5000,0.004330910739435813,0.9959407051013912,2,70,51
162,5.54971170425415,0.2418232493140525,5000,0.0031292705420200998,0.9913514728197856,3,20,31
163,5.174777030944824,0.13504492991704692,500,0.0015372216919437001,0.9994619442902904,3,30,21
164,5.55696439743042,0.22606137507311744,5000,0.0064044440246811,0.9756604664731893,1,60,51
165,6.789348602294922,0.18926815934117946,1000,0.0012724214340436562,0.9789446862088015,3,50,41
166,5.380189418792725,0.2691572243628293,5000,0.004050195460610223,0.9977178579476621,3,20,21
167,5.474107265472412,0.18117707878054065,5000,0.002460640141700721,0.9941482133579486,3,10,51
168,5.602260589599609,0.21449683627499502,5000,0.003426025843933889,0.9874199956056303,2,70,11
169,6.345881938934326,0.015841277993664356,5000,0.0017848813226600925,0.9697937557348524,3,40,51
170,7.225771427154541,0.19524655592217058,500,0.000962665197511421,0.9830324498977863,3,20,21
171,7.523885250091553,0.2906443425140369,5000,0.002880757620991806,0.9203396406201935,1,70,31
172,7.149104595184326,0.16043459703707033,1000,0.004459926941791658,0.9280439452535065,3,20,51
173,5.494313716888428,0.1747255190912192,5000,0.00617512665350712,0.9903076503824673,3,30,21
174,5.470483779907227,0.1160822849206016,5000,0.004683277617044343,0.986586986421575,2,60,41
175,4.732242584228516,0.16886552979436595,5000,0.0036722168968603363,0.9994763265071245,3,50,51
176,5.544169902801514,0.15460092429159705,5000,0.0036876927264664415,0.9804310084227328,3,50,21
177,6.017594814300537,0.12834771329498912,500,0.002672294460585218,0.9597006783704686,3,50,51
178,5.896463871002197,0.1419427964405049,1000,0.0021523728069775816,0.9929795661174744,1,40,11
179,5.0496344566345215,0.13576413359942183,5000,0.0031060471532869003,0.9963015258607033,3,50,31
180,5.520016193389893,0.17371272792890002,5000,0.002331510272415671,0.9845784015075716,3,50,21
181,6.455646514892578,0.1688197214110842,5000,0.003858651737933186,0.9248257221240668,3,50,51
182,4.933574676513672,0.19681049850050283,5000,0.002002388962686364,0.9996767159251727,2,50,21
183,5.604491710662842,0.14905934244658747,5000,0.003288908553652279,0.9732337913905429,3,50,51
184,10.936779022216797,0.16314476715896628,500,3.344442501529779e-05,0.9105795651728436,3,50,21
185,8.416839599609375,0.20617908275460733,1000,0.001391815011598419,0.9343409847753937,1,50,41
186,6.384083271026611,0.18027991242770075,5000,0.0016786989609160353,0.9635222331265709,3,50,51
187,5.8817458152771,0.1123944584293449,5000,0.002586953583189748,0.9570995438306409,3,70,11
188,5.366292476654053,0.18783621814963455,5000,0.0029040510974943563,0.9977367902150599,3,10,31
189,5.521852970123291,0.24602781695523582,5000,0.004231452791427658,0.9887721016453215,2,40,21
190,5.485006809234619,0.23230645413680348,5000,0.0004956788240933305,0.9946259567676843,3,50,51
191,5.348959445953369,0.15697157800422532,500,0.0033950759893812475,0.9925581127963125,3,70,21
192,8.78394603729248,0.12012836937546006,5000,0.0007307450596614946,0.9398184276789159,1,60,51
193,5.531346797943115,0.22213388670722164,1000,0.0048196594208292625,0.9821869864966842,3,30,41
194,6.840259075164795,0.16735466475175148,5000,0.0010607150956849084,0.976297839149512,3,40,21
195,6.6004414558410645,0.10531069574607146,5000,0.001884484627833839,0.9428160335572776,3,70,51
196,9.457735061645508,0.1301093659243349,5000,0.0012655921114118915,0.9030721972765385,2,10,31
197,6.420335292816162,0.21266020636815808,5000,0.004030232819954734,0.9534422690585822,3,50,11
198,5.406077861785889,0.14147002398286337,500,0.0035250440222879646,0.9907620030894775,3,40,21
199,5.606960296630859,0.19870146479018103,5000,0.0024452763461575207,0.979223284516336,3,70,51
200,5.735134124755859,0.18408224232826034,1000,0.005562853384975595,0.9864411548195341,1,60,21
201,6.576322078704834,0.15221737114527595,5000,0.0031254514909671858,0.9469788398904634,3,30,51
202,5.859578609466553,0.22724316832286526,5000,0.004561311377730515,0.9665818334827062,3,50,41
203,4.944683074951172,0.0953119021006811,5000,0.002813404817934792,0.9996521373568694,2,40,21
204,5.796785831451416,0.20370572226419847,5000,0.002222976351159508,0.9713141300661919,3,70,51
